protein	ged	num_ir
EPI101477	33.0	10
EPI101843	32.0	15
EPI101875	27.0	7
EPI105698	21.0	8
EPI107813	31.0	9
EPI107843	27.0	10
EPI109421	19.0	7
EPI1156382	25.0	8
EPI1158808	20.0	6
EPI116497	28.0	11
EPI123402	35.0	14
EPI125662	32.0	13
EPI127738	17.0	8
EPI1303228	32.0	11
EPI1328383	32.0	13
EPI1381432	21.0	8
EPI1517056	35.0	12
EPI1536787	20.0	8
EPI1552374	26.0	7
EPI1650	36.0	12
EPI167553	25.0	8
EPI167665	23.0	8
EPI168674	17.0	6
EPI1694134	23.0	6
EPI1772163	28.0	10
EPI1887774	22.0	5
EPI1947325	20.0	4
EPI1989697	23.0	7
EPI1989804	25.0	9
EPI1990120	19.0	9
EPI2017747	20.0	7
EPI2017755	24.0	12
EPI2017778	35.0	11
EPI2035782	44.0	14
EPI2035785	30.0	11
EPI21062	24.0	10
EPI21066	31.0	10
EPI2116742	23.0	9
EPI2144291	13.0	7
EPI214889	22.0	6
EPI2198548	37.0	13
EPI221986	22.0	5
EPI222018	20.0	8
EPI222476	26.0	7
EPI22627	45.0	14
EPI226839	30.0	13
EPI226841	21.0	10
EPI226845	19.0	6
EPI22793	19.0	7
EPI2300436	33.0	12
EPI234494	20.0	9
EPI234497	28.0	13
EPI235072	22.0	7
EPI235171	36.0	11
EPI235902	21.0	5
EPI239055	33.0	11
EPI2419700	29.0	12
EPI242227	0.0	7
EPI2429052	18.0	6
EPI243001	27.0	10
EPI2437377	20.0	9
EPI2437547	46.0	15
EPI2467482	21.0	7
EPI25011	16.0	9
EPI25072	19.0	7
EPI25076	36.0	13
EPI254385	21.0	4
EPI257053	35.0	14
EPI257054	16.0	5
EPI257055	22.0	10
EPI257056	21.0	5
EPI257058	9.0	7
EPI257059	24.0	8
EPI2573872	24.0	12
EPI2574086	25.0	10
EPI2580054	34.0	11
EPI2580066	26.0	10
EPI2580084	26.0	10
EPI2580091	25.0	7
EPI2580092	29.0	11
EPI2580113	23.0	10
EPI2580115	24.0	4
EPI2580134	23.0	7
EPI2580187	31.0	11
EPI2584443	27.0	9
EPI259006	21.0	7
EPI275758	20.0	7
EPI275782	35.0	11
EPI275790	27.0	11
EPI275822	20.0	8
EPI275862	19.0	4
EPI275878	12.0	8
EPI275974	26.0	6
EPI275990	18.0	6
EPI2800361	27.0	11
EPI2800377	29.0	9
EPI283783	19.0	5
EPI283787	32.0	11
EPI284432	24.0	12
EPI2856448	32.0	10
EPI287236	15.0	6
EPI3009059	24.0	7
EPI3009174	25.0	8
EPI310238	30.0	9
EPI314033	22.0	10
EPI3158642	17.0	8
EPI3178330	29.0	8
EPI318210	20.0	9
EPI321295	20.0	4
EPI321328	34.0	11
EPI328886	18.0	9
EPI331854	17.0	7
EPI335206	41.0	15
EPI3358339	41.0	15
EPI340399	32.0	11
EPI340788	27.0	11
EPI340796	23.0	10
EPI341364	27.0	10
EPI354429	16.0	7
EPI355443	33.0	12
EPI356510	31.0	13
EPI359214	19.0	8
EPI359864	15.0	9
EPI359867	18.0	9
EPI359880	17.0	6
EPI359882	32.0	11
EPI369182	22.0	10
EPI371190	19.0	7
EPI398310	27.0	11
EPI398581	18.0	10
EPI414084	25.0	5
EPI420386	26.0	12
EPI448231	27.0	10
EPI454493	27.0	6
EPI467792	22.0	9
EPI471131	31.0	11
EPI475563	18.0	7
EPI476972	28.0	9
EPI4795	19.0	8
EPI4801	24.0	9
EPI492324	25.0	7
EPI533388	28.0	11
EPI533427	27.0	10
EPI533432	32.0	12
EPI537677	26.0	10
EPI559078	17.0	9
EPI559098	30.0	10
EPI559109	21.0	9
EPI589108	26.0	9
EPI593757	24.0	9
EPI597820	23.0	3
EPI597824	21.0	2
EPI600770	26.0	10
EPI653115	25.0	9
EPI658567	20.0	10
EPI675773	25.0	5
EPI687187	35.0	11
EPI764389	19.0	4
EPI808932	37.0	12
EPI839728	23.0	8
EPI893474	20.0	3
EPI940674	28.0	9
EPI9640	28.0	12
EPI97199	35.0	12
