protein	ged	num_ir
EPI101477	23.0	8
EPI101843	26.0	8
EPI101875	23.0	11
EPI105698	28.0	8
EPI107813	25.0	7
EPI107843	28.0	8
EPI109421	24.0	10
EPI1156382	28.0	6
EPI1158808	30.0	6
EPI116497	27.0	8
EPI123402	27.0	9
EPI125662	27.0	12
EPI127738	30.0	6
EPI1303228	20.0	9
EPI1328383	27.0	10
EPI1381432	33.0	10
EPI1517056	34.0	7
EPI1536787	20.0	8
EPI1552374	23.0	9
EPI1650	25.0	10
EPI167553	32.0	12
EPI167665	25.0	7
EPI168674	24.0	7
EPI1694134	25.0	8
EPI1772163	34.0	11
EPI1887774	46.0	13
EPI1947325	33.0	12
EPI1989697	27.0	8
EPI1989804	18.0	9
EPI1990120	25.0	6
EPI2017747	28.0	7
EPI2017755	28.0	2
EPI2017778	27.0	7
EPI2035782	45.0	13
EPI2035785	29.0	6
EPI21062	21.0	8
EPI21066	24.0	9
EPI2116742	26.0	7
EPI2144291	27.0	8
EPI214889	27.0	9
EPI2198548	28.0	10
EPI221986	23.0	5
EPI222018	25.0	5
EPI222476	27.0	6
EPI22627	23.0	7
EPI226839	26.0	7
EPI226841	29.0	9
EPI226845	29.0	6
EPI22793	29.0	11
EPI2300436	30.0	10
EPI234494	30.0	11
EPI234497	28.0	11
EPI235072	24.0	5
EPI235171	27.0	4
EPI235902	28.0	9
EPI239055	27.0	11
EPI2419700	29.0	10
EPI242227	0.0	9
EPI2429052	22.0	8
EPI243001	28.0	6
EPI2437377	27.0	11
EPI2437547	36.0	11
EPI2467482	23.0	6
EPI25011	26.0	6
EPI25072	26.0	10
EPI25076	29.0	7
EPI254385	32.0	11
EPI257053	25.0	9
EPI257054	22.0	6
EPI257055	36.0	13
EPI257056	22.0	6
EPI257058	20.0	10
EPI257059	28.0	8
EPI2573872	22.0	10
EPI2574086	21.0	8
EPI2580054	24.0	9
EPI2580066	24.0	9
EPI2580084	23.0	7
EPI2580091	31.0	10
EPI2580092	30.0	5
EPI2580113	26.0	8
EPI2580115	60.0	18
EPI2580134	26.0	7
EPI2580187	27.0	12
EPI2584443	24.0	11
EPI259006	22.0	5
EPI275758	35.0	11
EPI275782	24.0	8
EPI275790	26.0	5
EPI275822	24.0	10
EPI275862	22.0	6
EPI275878	28.0	10
EPI275974	22.0	6
EPI275990	22.0	10
EPI2800361	26.0	10
EPI2800377	32.0	12
EPI283783	29.0	7
EPI283787	24.0	9
EPI284432	24.0	8
EPI2856448	27.0	10
EPI287236	25.0	6
EPI3009059	31.0	10
EPI3009174	24.0	8
EPI310238	22.0	10
EPI314033	26.0	8
EPI3158642	31.0	13
EPI3178330	41.0	13
EPI318210	23.0	10
EPI321295	24.0	7
EPI321328	28.0	9
EPI328886	29.0	6
EPI331854	26.0	9
EPI335206	26.0	8
EPI3358339	30.0	7
EPI340399	29.0	10
EPI340788	26.0	8
EPI340796	31.0	11
EPI341364	27.0	9
EPI354429	29.0	5
EPI355443	33.0	11
EPI356510	27.0	10
EPI359214	25.0	8
EPI359864	22.0	9
EPI359867	26.0	6
EPI359880	30.0	5
EPI359882	28.0	11
EPI369182	27.0	4
EPI371190	27.0	10
EPI398310	23.0	9
EPI398581	17.0	7
EPI414084	28.0	8
EPI420386	27.0	8
EPI448231	30.0	9
EPI454493	24.0	7
EPI467792	31.0	7
EPI471131	25.0	9
EPI475563	24.0	7
EPI476972	27.0	4
EPI4795	24.0	6
EPI4801	28.0	8
EPI492324	27.0	9
EPI533388	30.0	11
EPI533427	19.0	7
EPI533432	26.0	6
EPI537677	22.0	7
EPI559078	22.0	7
EPI559098	28.0	10
EPI559109	23.0	8
EPI589108	21.0	8
EPI593757	29.0	6
EPI597820	29.0	4
EPI597824	29.0	6
EPI600770	33.0	8
EPI653115	24.0	8
EPI658567	27.0	6
EPI675773	38.0	11
EPI687187	28.0	7
EPI764389	33.0	4
EPI808932	29.0	9
EPI839728	28.0	6
EPI893474	27.0	3
EPI940674	24.0	11
EPI9640	29.0	5
EPI97199	44.0	15
