protein	ged	num_ir
EPI101477	26.0	10
EPI101843	32.0	9
EPI101875	27.0	7
EPI105698	42.0	13
EPI107813	44.0	12
EPI107843	25.0	9
EPI109421	28.0	9
EPI1156382	16.0	11
EPI1158808	30.0	9
EPI116497	16.0	8
EPI123402	31.0	10
EPI125662	44.0	13
EPI127738	27.0	4
EPI1303228	36.0	13
EPI1328383	28.0	7
EPI1381432	24.0	7
EPI1517056	39.0	13
EPI1536787	30.0	12
EPI1552374	26.0	10
EPI1650	32.0	9
EPI167553	30.0	11
EPI167665	27.0	7
EPI168674	16.0	10
EPI1694134	39.0	15
EPI1772163	18.0	10
EPI1887774	27.0	12
EPI1947325	30.0	10
EPI1989697	29.0	9
EPI1989804	24.0	5
EPI1990120	36.0	10
EPI2017747	40.0	12
EPI2017755	26.0	8
EPI2017778	26.0	7
EPI2035782	42.0	14
EPI2035785	35.0	11
EPI21062	30.0	9
EPI21066	25.0	11
EPI2116742	24.0	7
EPI2144291	15.0	9
EPI214889	30.0	8
EPI2198548	32.0	8
EPI221986	13.0	9
EPI222018	29.0	7
EPI222476	38.0	13
EPI22627	27.0	8
EPI226839	32.0	12
EPI226841	27.0	5
EPI226845	30.0	11
EPI22793	27.0	5
EPI2300436	29.0	5
EPI234494	26.0	5
EPI234497	31.0	13
EPI235072	25.0	6
EPI235171	24.0	5
EPI235902	22.0	9
EPI239055	33.0	8
EPI2419700	29.0	10
EPI242227	0.0	9
EPI2429052	25.0	7
EPI243001	25.0	5
EPI2437377	29.0	9
EPI2437547	33.0	12
EPI2467482	24.0	7
EPI25011	40.0	12
EPI25072	26.0	9
EPI25076	26.0	11
EPI254385	25.0	6
EPI257053	30.0	15
EPI257054	23.0	9
EPI257055	27.0	9
EPI257056	26.0	3
EPI257058	34.0	10
EPI257059	28.0	8
EPI2573872	26.0	8
EPI2574086	33.0	7
EPI2580054	27.0	7
EPI2580066	30.0	11
EPI2580084	31.0	11
EPI2580091	30.0	5
EPI2580092	30.0	7
EPI2580113	29.0	7
EPI2580115	27.0	4
EPI2580134	27.0	9
EPI2580187	34.0	12
EPI2584443	26.0	9
EPI259006	32.0	12
EPI275758	30.0	8
EPI275782	27.0	6
EPI275790	33.0	5
EPI275822	29.0	7
EPI275862	26.0	7
EPI275878	29.0	9
EPI275974	28.0	10
EPI275990	27.0	8
EPI2800361	28.0	4
EPI2800377	26.0	6
EPI283783	30.0	6
EPI283787	28.0	7
EPI284432	31.0	6
EPI2856448	32.0	10
EPI287236	30.0	11
EPI3009059	28.0	9
EPI3009174	24.0	7
EPI310238	28.0	8
EPI314033	14.0	8
EPI3158642	28.0	9
EPI3178330	39.0	13
EPI318210	28.0	8
EPI321295	26.0	8
EPI321328	25.0	3
EPI328886	19.0	8
EPI331854	31.0	10
EPI335206	34.0	11
EPI3358339	25.0	8
EPI340399	32.0	13
EPI340788	28.0	5
EPI340796	30.0	10
EPI341364	26.0	5
EPI354429	28.0	6
EPI355443	31.0	10
EPI356510	28.0	7
EPI359214	29.0	6
EPI359864	31.0	10
EPI359867	28.0	5
EPI359880	24.0	11
EPI359882	38.0	11
EPI369182	25.0	5
EPI371190	28.0	7
EPI398310	31.0	13
EPI398581	16.0	8
EPI414084	26.0	9
EPI420386	32.0	8
EPI448231	29.0	11
EPI454493	29.0	10
EPI467792	27.0	9
EPI471131	28.0	7
EPI475563	28.0	9
EPI476972	25.0	8
EPI4795	26.0	5
EPI4801	32.0	9
EPI492324	31.0	12
EPI533388	31.0	6
EPI533427	22.0	7
EPI533432	27.0	7
EPI537677	29.0	8
EPI559078	26.0	5
EPI559098	24.0	10
EPI559109	33.0	12
EPI589108	31.0	8
EPI593757	30.0	10
EPI597820	26.0	9
EPI597824	30.0	7
EPI600770	32.0	4
EPI653115	28.0	9
EPI658567	28.0	7
EPI675773	27.0	6
EPI687187	22.0	6
EPI764389	26.0	3
EPI808932	29.0	9
EPI839728	31.0	10
EPI893474	28.0	5
EPI940674	26.0	8
EPI9640	25.0	7
EPI97199	43.0	17
