protein	ged	num_ir
EPI101477	33.0	8
EPI101843	34.0	6
EPI101875	33.0	6
EPI105698	36.0	13
EPI107813	36.0	8
EPI107843	36.0	9
EPI109421	27.0	6
EPI1156382	30.0	5
EPI1158808	24.0	8
EPI116497	24.0	8
EPI123402	27.0	11
EPI125662	34.0	12
EPI127738	31.0	8
EPI1303228	29.0	11
EPI1328383	35.0	9
EPI1381432	34.0	11
EPI1517056	23.0	7
EPI1536787	36.0	5
EPI1552374	30.0	7
EPI1650	27.0	8
EPI167553	30.0	8
EPI167665	33.0	6
EPI168674	27.0	5
EPI1694134	38.0	14
EPI1772163	24.0	8
EPI1887774	26.0	12
EPI1947325	30.0	9
EPI1989697	37.0	9
EPI1989804	29.0	8
EPI1990120	21.0	10
EPI2017747	36.0	9
EPI2017755	27.0	9
EPI2017778	27.0	6
EPI2035782	32.0	12
EPI2035785	33.0	6
EPI21062	34.0	7
EPI21066	35.0	9
EPI2116742	28.0	10
EPI2144291	19.0	10
EPI214889	24.0	8
EPI2198548	23.0	12
EPI221986	25.0	11
EPI222018	28.0	10
EPI222476	32.0	8
EPI22627	30.0	12
EPI226839	32.0	8
EPI226841	32.0	4
EPI226845	31.0	11
EPI22793	45.0	16
EPI2300436	31.0	7
EPI234494	31.0	6
EPI234497	38.0	11
EPI235072	34.0	7
EPI235171	32.0	7
EPI235902	34.0	7
EPI239055	33.0	6
EPI2419700	36.0	6
EPI242227	0.0	10
EPI2429052	31.0	10
EPI243001	36.0	7
EPI2437377	35.0	10
EPI2437547	24.0	10
EPI2467482	32.0	7
EPI25011	24.0	7
EPI25072	29.0	6
EPI25076	33.0	10
EPI254385	27.0	6
EPI257053	34.0	12
EPI257054	34.0	9
EPI257055	23.0	7
EPI257056	30.0	6
EPI257058	33.0	9
EPI257059	34.0	12
EPI2573872	37.0	9
EPI2574086	31.0	5
EPI2580054	30.0	7
EPI2580066	33.0	12
EPI2580084	37.0	11
EPI2580091	29.0	13
EPI2580092	33.0	8
EPI2580113	25.0	11
EPI2580115	30.0	6
EPI2580134	30.0	8
EPI2580187	34.0	13
EPI2584443	32.0	9
EPI259006	32.0	9
EPI275758	26.0	7
EPI275782	23.0	9
EPI275790	29.0	9
EPI275822	27.0	9
EPI275862	31.0	9
EPI275878	31.0	6
EPI275974	35.0	11
EPI275990	30.0	9
EPI2800361	21.0	11
EPI2800377	32.0	9
EPI283783	28.0	9
EPI283787	32.0	9
EPI284432	31.0	11
EPI2856448	30.0	7
EPI287236	29.0	12
EPI3009059	23.0	11
EPI3009174	27.0	8
EPI310238	11.0	8
EPI314033	34.0	11
EPI3158642	31.0	9
EPI3178330	34.0	13
EPI318210	36.0	9
EPI321295	34.0	10
EPI321328	26.0	13
EPI328886	29.0	11
EPI331854	35.0	10
EPI335206	31.0	7
EPI3358339	31.0	12
EPI340399	34.0	10
EPI340788	24.0	13
EPI340796	34.0	7
EPI341364	26.0	8
EPI354429	34.0	6
EPI355443	17.0	10
EPI356510	34.0	8
EPI359214	38.0	8
EPI359864	35.0	8
EPI359867	33.0	8
EPI359880	32.0	10
EPI359882	32.0	8
EPI369182	33.0	7
EPI371190	33.0	8
EPI398310	20.0	11
EPI398581	29.0	11
EPI414084	33.0	7
EPI420386	31.0	13
EPI448231	30.0	4
EPI454493	34.0	12
EPI467792	34.0	10
EPI471131	36.0	11
EPI475563	35.0	7
EPI476972	36.0	5
EPI4795	31.0	9
EPI4801	32.0	7
EPI492324	35.0	6
EPI533388	32.0	12
EPI533427	30.0	10
EPI533432	34.0	10
EPI537677	30.0	7
EPI559078	41.0	13
EPI559098	37.0	9
EPI559109	37.0	8
EPI589108	21.0	12
EPI593757	38.0	7
EPI597820	33.0	7
EPI597824	34.0	9
EPI600770	30.0	10
EPI653115	35.0	12
EPI658567	37.0	14
EPI675773	27.0	6
EPI687187	32.0	7
EPI764389	32.0	8
EPI808932	37.0	11
EPI839728	38.0	13
EPI893474	34.0	7
EPI940674	31.0	12
EPI9640	38.0	7
EPI97199	36.0	11
