protein	ged	num_ir
EPI101477	31.0	8
EPI101843	34.0	13
EPI101875	34.0	4
EPI105698	17.0	9
EPI107813	39.0	12
EPI107843	32.0	6
EPI109421	34.0	8
EPI1156382	30.0	9
EPI1158808	34.0	9
EPI116497	32.0	11
EPI123402	38.0	13
EPI125662	37.0	11
EPI127738	34.0	11
EPI1303228	28.0	8
EPI1328383	19.0	12
EPI1381432	35.0	9
EPI1517056	28.0	10
EPI1536787	33.0	6
EPI1552374	41.0	9
EPI1650	39.0	14
EPI167553	31.0	9
EPI167665	34.0	10
EPI168674	30.0	11
EPI1694134	33.0	9
EPI1772163	36.0	8
EPI1887774	41.0	13
EPI1947325	33.0	9
EPI1989697	37.0	8
EPI1989804	36.0	8
EPI1990120	44.0	14
EPI2017747	35.0	9
EPI2017755	36.0	9
EPI2017778	36.0	6
EPI2035782	29.0	10
EPI2035785	32.0	9
EPI21062	29.0	10
EPI21066	32.0	9
EPI2116742	47.0	13
EPI2144291	23.0	7
EPI214889	36.0	13
EPI2198548	36.0	10
EPI221986	26.0	11
EPI222018	23.0	8
EPI222476	35.0	13
EPI22627	37.0	9
EPI226839	32.0	12
EPI226841	36.0	8
EPI226845	15.0	10
EPI22793	42.0	12
EPI2300436	37.0	9
EPI234494	37.0	9
EPI234497	35.0	10
EPI235072	31.0	8
EPI235171	14.0	10
EPI235902	43.0	14
EPI239055	38.0	13
EPI2419700	37.0	8
EPI242227	0.0	8
EPI2429052	33.0	6
EPI243001	34.0	9
EPI2437377	22.0	6
EPI2437547	35.0	8
EPI2467482	37.0	6
EPI25011	36.0	7
EPI25072	35.0	8
EPI25076	34.0	11
EPI254385	40.0	13
EPI257053	36.0	9
EPI257054	37.0	6
EPI257055	31.0	8
EPI257056	34.0	7
EPI257058	35.0	8
EPI257059	38.0	13
EPI2573872	31.0	6
EPI2574086	28.0	10
EPI2580054	39.0	7
EPI2580066	31.0	9
EPI2580084	37.0	9
EPI2580091	25.0	6
EPI2580092	38.0	12
EPI2580113	35.0	6
EPI2580115	34.0	9
EPI2580134	40.0	12
EPI2580187	40.0	12
EPI2584443	35.0	7
EPI259006	36.0	10
EPI275758	30.0	10
EPI275782	32.0	6
EPI275790	33.0	5
EPI275822	28.0	10
EPI275862	43.0	11
EPI275878	33.0	9
EPI275974	36.0	5
EPI275990	38.0	10
EPI2800361	34.0	8
EPI2800377	33.0	7
EPI283783	30.0	13
EPI283787	34.0	10
EPI284432	34.0	9
EPI2856448	36.0	10
EPI287236	30.0	8
EPI3009059	30.0	7
EPI3009174	32.0	10
EPI310238	49.0	16
EPI314033	24.0	10
EPI3158642	41.0	11
EPI3178330	49.0	15
EPI318210	36.0	8
EPI321295	37.0	11
EPI321328	28.0	10
EPI328886	43.0	13
EPI331854	14.0	9
EPI335206	43.0	15
EPI3358339	23.0	6
EPI340399	42.0	14
EPI340788	26.0	10
EPI340796	36.0	10
EPI341364	34.0	11
EPI354429	33.0	6
EPI355443	39.0	13
EPI356510	35.0	10
EPI359214	35.0	5
EPI359864	32.0	10
EPI359867	31.0	11
EPI359880	33.0	5
EPI359882	28.0	9
EPI369182	35.0	7
EPI371190	30.0	8
EPI398310	48.0	14
EPI398581	23.0	12
EPI414084	36.0	6
EPI420386	33.0	8
EPI448231	32.0	7
EPI454493	35.0	12
EPI467792	38.0	14
EPI471131	35.0	9
EPI475563	30.0	5
EPI476972	33.0	11
EPI4795	34.0	7
EPI4801	33.0	6
EPI492324	33.0	6
EPI533388	26.0	12
EPI533427	30.0	8
EPI533432	34.0	6
EPI537677	33.0	7
EPI559078	35.0	5
EPI559098	27.0	9
EPI559109	35.0	9
EPI589108	34.0	8
EPI593757	37.0	9
EPI597820	34.0	7
EPI597824	34.0	5
EPI600770	24.0	8
EPI653115	34.0	4
EPI658567	36.0	12
EPI675773	36.0	8
EPI687187	34.0	8
EPI764389	34.0	4
EPI808932	35.0	11
EPI839728	35.0	9
EPI893474	34.0	5
EPI940674	31.0	10
EPI9640	37.0	11
EPI97199	43.0	12
