structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-100.29397
mdscoring_2.pdb	mdref_2.pdb	None	-113.71983999999999
mdscoring_3.pdb	mdref_3.pdb	None	-102.6545
mdscoring_4.pdb	mdref_4.pdb	None	-100.5535
mdscoring_5.pdb	mdref_5.pdb	None	-93.78152
mdscoring_6.pdb	mdref_6.pdb	None	-100.80138000000001
mdscoring_7.pdb	mdref_7.pdb	None	-105.75300999999999
mdscoring_8.pdb	mdref_8.pdb	None	-111.07271999999999
mdscoring_9.pdb	mdref_9.pdb	None	-113.23757
mdscoring_10.pdb	mdref_10.pdb	None	-106.11835
