total seq: 18692
longest and shortest : 576 and 11
Total letters: 10133164
Sequences have been sorted

Approximated minimal memory consumption:
Sequence        : 12M
Buffer          : 8 X 10M = 86M
Table           : 2 X 65M = 131M
Miscellaneous   : 0M
Total           : 230M

Table limit with the given memory limit:
Max number of representatives: 4000000
Max number of word counting entries: 19971142937

# comparing sequences from          0  to       1869
.---------- new table with       67 representatives
# comparing sequences from       1869  to       3551
99.9%---------- new table with       18 representatives
# comparing sequences from       3551  to       5065
100.0%---------- new table with       12 representatives
# comparing sequences from       5065  to       6427
99.8%---------- new table with        7 representatives
# comparing sequences from       6427  to       7653
---------- new table with        7 representatives
# comparing sequences from       7653  to       8756
99.6%---------- new table with        6 representatives
# comparing sequences from       8756  to       9749
99.4%---------- new table with        3 representatives
# comparing sequences from       9749  to      10643
99.7%---------- new table with        6 representatives
# comparing sequences from      10643  to      11447
---------- new table with       16 representatives
# comparing sequences from      11447  to      12171
98.0%---------- new table with        1 representatives
# comparing sequences from      12171  to      12823
99.5%---------- new table with        2 representatives
# comparing sequences from      12823  to      13409
99.4%---------- new table with        2 representatives
# comparing sequences from      13409  to      13937
99.3%---------- new table with        2 representatives
# comparing sequences from      13937  to      14412
99.4%---------- new table with        1 representatives
# comparing sequences from      14412  to      14840
99.5%---------- new table with        2 representatives
# comparing sequences from      14840  to      15225
99.5%---------- new table with        1 representatives
# comparing sequences from      15225  to      15571
---------- new table with        8 representatives
# comparing sequences from      15571  to      15883
...---------- new table with        8 representatives
# comparing sequences from      15883  to      16163
.---------- new table with        5 representatives
# comparing sequences from      16163  to      16415
---------- new table with        7 representatives
# comparing sequences from      16415  to      16642
100.0%---------- new table with        1 representatives
# comparing sequences from      16642  to      16847
97.3%---------- new table with        4 representatives
# comparing sequences from      16847  to      17031
---------- new table with        5 representatives
# comparing sequences from      17031  to      17197
97.3%---------- new table with        0 representatives
# comparing sequences from      17197  to      17346
---------- new table with        3 representatives
# comparing sequences from      17346  to      17480
.---------- new table with        6 representatives
# comparing sequences from      17480  to      17601
99.4%---------- new table with        4 representatives
# comparing sequences from      17601  to      17710
...---------- new table with        8 representatives
# comparing sequences from      17710  to      18692
..---------- new table with       38 representatives

    18692  finished        250  clusters

Approximated maximum memory consumption: 231M
writing new database
writing clustering information
program completed !

Total CPU time 6.34
