total seq: 18692
longest and shortest : 576 and 11
Total letters: 10133164
Sequences have been sorted

Approximated minimal memory consumption:
Sequence        : 12M
Buffer          : 8 X 10M = 86M
Table           : 2 X 65M = 131M
Miscellaneous   : 0M
Total           : 230M

Table limit with the given memory limit:
Max number of representatives: 4000000
Max number of word counting entries: 19971142937

# comparing sequences from          0  to       1869
.---------- new table with     1103 representatives
# comparing sequences from       1869  to       3551
99.9%---------- new table with      825 representatives
# comparing sequences from       3551  to       5065
98.3%---------- new table with      646 representatives
# comparing sequences from       5065  to       6427
98.3%---------- new table with      567 representatives
# comparing sequences from       6427  to       7653
99.8%---------- new table with      254 representatives
# comparing sequences from       7653  to       8756
98.1%---------- new table with      272 representatives
# comparing sequences from       8756  to       9749
98.7%---------- new table with      377 representatives
# comparing sequences from       9749  to      10643
98.3%---------- new table with      248 representatives
# comparing sequences from      10643  to      11447
99.3%---------- new table with      290 representatives
# comparing sequences from      11447  to      12171
98.2%---------- new table with      227 representatives
# comparing sequences from      12171  to      12823
98.3%---------- new table with      188 representatives
# comparing sequences from      12823  to      13409
98.3%---------- new table with      198 representatives
# comparing sequences from      13409  to      13937
98.2%---------- new table with      176 representatives
# comparing sequences from      13937  to      14412
98.3%---------- new table with      142 representatives
# comparing sequences from      14412  to      14840
98.3%---------- new table with      128 representatives
# comparing sequences from      14840  to      15225
98.1%---------- new table with      131 representatives
# comparing sequences from      15225  to      15571
99.3%---------- new table with      167 representatives
# comparing sequences from      15571  to      15883
99.3%---------- new table with      203 representatives
# comparing sequences from      15883  to      16163
99.3%---------- new table with      157 representatives
# comparing sequences from      16163  to      16415
98.0%---------- new table with      143 representatives
# comparing sequences from      16415  to      16642
98.3%---------- new table with      118 representatives
# comparing sequences from      16642  to      16847
----------      2 remaining sequences to the next cycle
---------- new table with      109 representatives
# comparing sequences from      16845  to      17029
........---------- new table with       94 representatives
# comparing sequences from      17029  to      17195
........---------- new table with       81 representatives
# comparing sequences from      17195  to      17344
...............---------- new table with       97 representatives
# comparing sequences from      17344  to      17478
............---------- new table with       63 representatives
# comparing sequences from      17478  to      17599
........---------- new table with       61 representatives
# comparing sequences from      17599  to      17708
.......---------- new table with       43 representatives
# comparing sequences from      17708  to      18692
........---------- new table with      219 representatives

    18692  finished       7327  clusters

Approximated maximum memory consumption: 239M
writing new database
writing clustering information
program completed !

Total CPU time 65.88
