cd-hit-est -i gisaid_H5N1_HA.fna -o HAnuc100 -c 1.00 -n 8 -M 160000 -T 8 
================================================================
Program: CD-HIT, V4.8.1 (+OpenMP), Aug 20 2021, 08:39:56
Command: cd-hit-est -i gisaid_H5N1_HA.fna -o HAnuc100 -c 1.00
         -n 8 -M 160000 -T 8

Started: Tue Apr 30 15:32:34 2024
================================================================
                            Output                              
----------------------------------------------------------------
total seq: 18906
longest and shortest : 1870 and 59
Total letters: 30933271
Sequences have been sorted

Approximated minimal memory consumption:
Sequence        : 33M
Buffer          : 8 X 12M = 101M
Table           : 2 X 1M = 2M
Miscellaneous   : 0M
Total           : 138M

Table limit with the given memory limit:
Max number of representatives: 4000000
Max number of word counting entries: 19982749358

# comparing sequences from          0  to       1890
.---------- new table with     1409 representatives
# comparing sequences from       1890  to       3591
99.9%---------- new table with     1272 representatives
# comparing sequences from       3591  to       5122
99.9%---------- new table with     1034 representatives
# comparing sequences from       5122  to       6500
99.9%---------- new table with      809 representatives
# comparing sequences from       6500  to       7740
99.9%---------- new table with      960 representatives
# comparing sequences from       7740  to       8856
100.0%---------- new table with      788 representatives
# comparing sequences from       8856  to       9861
100.0%---------- new table with      747 representatives
# comparing sequences from       9861  to      10765
..........    10000  finished       7116  clusters
99.9%---------- new table with      579 representatives
# comparing sequences from      10765  to      11579
99.9%---------- new table with      406 representatives
# comparing sequences from      11579  to      12311
99.9%---------- new table with      336 representatives
# comparing sequences from      12311  to      12970
100.0%---------- new table with      371 representatives
# comparing sequences from      12970  to      13563
100.0%---------- new table with      309 representatives
# comparing sequences from      13563  to      14097
99.9%---------- new table with      358 representatives
# comparing sequences from      14097  to      14577
99.9%---------- new table with      268 representatives
# comparing sequences from      14577  to      15009
100.0%---------- new table with      220 representatives
# comparing sequences from      15009  to      15398
100.0%---------- new table with      215 representatives
# comparing sequences from      15398  to      15748
99.9%---------- new table with      258 representatives
# comparing sequences from      15748  to      16063
100.0%---------- new table with      253 representatives
# comparing sequences from      16063  to      16347
99.9%---------- new table with      203 representatives
# comparing sequences from      16347  to      16602
................---------- new table with      203 representatives
# comparing sequences from      16602  to      16832
100.0%---------- new table with      166 representatives
# comparing sequences from      16832  to      17039
----------      6 remaining sequences to the next cycle
---------- new table with      145 representatives
# comparing sequences from      17033  to      17220
----------     21 remaining sequences to the next cycle
---------- new table with      118 representatives
# comparing sequences from      17199  to      17369
----------     39 remaining sequences to the next cycle
---------- new table with      100 representatives
# comparing sequences from      17330  to      17487
----------      9 remaining sequences to the next cycle
---------- new table with      100 representatives
# comparing sequences from      17478  to      17620
----------     16 remaining sequences to the next cycle
---------- new table with      100 representatives
# comparing sequences from      17604  to      17734
...............---------- new table with       88 representatives
# comparing sequences from      17734  to      17851
...............---------- new table with       68 representatives
# comparing sequences from      17851  to      17956
........---------- new table with       49 representatives
# comparing sequences from      17956  to      18906
..............---------- new table with      388 representatives

    18906  finished      12320  clusters

Approximated maximum memory consumption: 174M
writing new database
writing clustering information
program completed !

Total CPU time 356.72

