cd-hit-est -i gisaid_H5N1_NA.fna -o NAnuc97 -c 0.97 -n 8 -M 160000 -T 8 
================================================================
Program: CD-HIT, V4.8.1 (+OpenMP), Aug 20 2021, 08:39:56
Command: cd-hit-est -i gisaid_H5N1_NA.fna -o NAnuc97 -c 0.97
         -n 8 -M 160000 -T 8

Started: Tue Apr 30 15:31:24 2024
================================================================
                            Output                              
----------------------------------------------------------------
total seq: 16037
longest and shortest : 2349 and 52
Total letters: 21762157
Sequences have been sorted

Approximated minimal memory consumption:
Sequence        : 23M
Buffer          : 8 X 12M = 101M
Table           : 2 X 1M = 2M
Miscellaneous   : 0M
Total           : 128M

Table limit with the given memory limit:
Max number of representatives: 4000000
Max number of word counting entries: 19983892532

# comparing sequences from          0  to       1603
.---------- new table with       44 representatives
# comparing sequences from       1603  to       3046
99.9%---------- new table with        7 representatives
# comparing sequences from       3046  to       4345
99.9%---------- new table with       13 representatives
# comparing sequences from       4345  to       5514
99.8%---------- new table with       10 representatives
# comparing sequences from       5514  to       6566
99.9%---------- new table with        0 representatives
# comparing sequences from       6566  to       7513
---------- new table with        4 representatives
# comparing sequences from       7513  to       8365
99.6%---------- new table with        3 representatives
# comparing sequences from       8365  to       9132
99.6%---------- new table with        9 representatives
# comparing sequences from       9132  to       9822
.........---------- new table with       31 representatives
# comparing sequences from       9822  to      10443
..........    10000  finished        127  clusters
99.9%---------- new table with        8 representatives
# comparing sequences from      10443  to      11002
.---------- new table with        8 representatives
# comparing sequences from      11002  to      11505
---------- new table with        5 representatives
# comparing sequences from      11505  to      11958
---------- new table with        4 representatives
# comparing sequences from      11958  to      12365
99.9%---------- new table with        2 representatives
# comparing sequences from      12365  to      12732
99.9%---------- new table with        1 representatives
# comparing sequences from      12732  to      13062
91.1%---------- new table with        2 representatives
# comparing sequences from      13062  to      13359
99.9%---------- new table with        1 representatives
# comparing sequences from      13359  to      13626
99.9%---------- new table with        0 representatives
# comparing sequences from      13626  to      13867
---------- new table with        0 representatives
# comparing sequences from      13867  to      14084
---------- new table with        2 representatives
# comparing sequences from      14084  to      14279
99.8%---------- new table with        4 representatives
# comparing sequences from      14279  to      14454
99.7%---------- new table with        1 representatives
# comparing sequences from      14454  to      14612
..---------- new table with        1 representatives
# comparing sequences from      14612  to      14754
99.9%---------- new table with        2 representatives
# comparing sequences from      14754  to      14882
97.1%---------- new table with        2 representatives
# comparing sequences from      14882  to      14997
99.9%---------- new table with        0 representatives
# comparing sequences from      14997  to      15101
---------- new table with        0 representatives
# comparing sequences from      15101  to      16037
.---------- new table with       52 representatives

    16037  finished        216  clusters

Approximated maximum memory consumption: 129M
writing new database
writing clustering information
program completed !

Total CPU time 18.95

