rank	model_name	score	cluster_id
1	rigidbody_51.pdb	39.92	-
2	rigidbody_198.pdb	41.34	1
3	rigidbody_101.pdb	44.67	-
4	rigidbody_75.pdb	46.07	-
5	rigidbody_66.pdb	47.96	-
6	rigidbody_3.pdb	48.72	-
7	rigidbody_127.pdb	49.63	1
8	rigidbody_25.pdb	51.24	1
9	rigidbody_154.pdb	52.15	-
10	rigidbody_169.pdb	52.77	1
11	rigidbody_160.pdb	53.85	1
12	rigidbody_157.pdb	54.65	-
13	rigidbody_9.pdb	58.09	-
14	rigidbody_106.pdb	58.94	2
15	rigidbody_175.pdb	61.56	-
16	rigidbody_182.pdb	62.21	2
17	rigidbody_43.pdb	62.38	-
18	rigidbody_148.pdb	62.70	-
19	rigidbody_38.pdb	62.88	-
20	rigidbody_153.pdb	64.07	-
21	rigidbody_79.pdb	66.26	1
22	rigidbody_150.pdb	66.92	1
23	rigidbody_107.pdb	67.88	-
24	rigidbody_142.pdb	69.73	1
25	rigidbody_46.pdb	69.75	1
26	rigidbody_166.pdb	70.24	-
27	rigidbody_104.pdb	70.28	2
28	rigidbody_191.pdb	70.93	-
29	rigidbody_19.pdb	71.69	-
30	rigidbody_34.pdb	71.80	-
31	rigidbody_167.pdb	72.85	-
32	rigidbody_33.pdb	72.91	-
33	rigidbody_54.pdb	73.36	1
34	rigidbody_180.pdb	74.65	-
35	rigidbody_13.pdb	74.73	-
36	rigidbody_40.pdb	75.14	1
37	rigidbody_10.pdb	75.20	2
38	rigidbody_63.pdb	75.46	1
39	rigidbody_136.pdb	76.17	-
40	rigidbody_2.pdb	77.25	2
41	rigidbody_48.pdb	77.29	2
42	rigidbody_135.pdb	77.56	1
43	rigidbody_120.pdb	78.42	-
44	rigidbody_16.pdb	78.88	-
45	rigidbody_141.pdb	78.92	-
46	rigidbody_68.pdb	79.45	1
47	rigidbody_18.pdb	79.66	1
48	rigidbody_94.pdb	79.87	-
49	rigidbody_71.pdb	80.47	-
50	rigidbody_114.pdb	80.91	-
51	rigidbody_87.pdb	80.99	1
52	rigidbody_111.pdb	81.12	-
53	rigidbody_164.pdb	81.49	2
54	rigidbody_50.pdb	81.70	2
55	rigidbody_196.pdb	81.73	2
56	rigidbody_183.pdb	81.82	-
57	rigidbody_57.pdb	82.32	-
58	rigidbody_177.pdb	82.37	-
59	rigidbody_128.pdb	82.61	2
60	rigidbody_60.pdb	83.45	-
61	rigidbody_84.pdb	84.15	-
62	rigidbody_4.pdb	84.32	2
63	rigidbody_70.pdb	84.33	-
64	rigidbody_65.pdb	85.29	-
65	rigidbody_123.pdb	85.31	-
66	rigidbody_126.pdb	85.65	-
67	rigidbody_102.pdb	85.85	2
68	rigidbody_62.pdb	86.37	-
69	rigidbody_74.pdb	86.83	-
70	rigidbody_170.pdb	87.69	-
71	rigidbody_91.pdb	88.19	-
72	rigidbody_140.pdb	88.47	2
73	rigidbody_119.pdb	88.64	-
74	rigidbody_113.pdb	89.54	2
75	rigidbody_88.pdb	89.63	-
76	rigidbody_53.pdb	89.66	-
77	rigidbody_85.pdb	89.83	-
78	rigidbody_8.pdb	90.10	-
79	rigidbody_129.pdb	91.09	-
80	rigidbody_144.pdb	91.95	-
81	rigidbody_76.pdb	92.38	-
82	rigidbody_125.pdb	92.38	-
83	rigidbody_12.pdb	92.62	-
84	rigidbody_137.pdb	93.15	-
85	rigidbody_47.pdb	94.20	-
86	rigidbody_7.pdb	94.79	-
87	rigidbody_134.pdb	94.84	-
88	rigidbody_179.pdb	95.44	1
89	rigidbody_23.pdb	95.80	-
90	rigidbody_37.pdb	96.08	-
91	rigidbody_184.pdb	96.28	-
92	rigidbody_95.pdb	96.55	-
93	rigidbody_49.pdb	96.84	-
94	rigidbody_35.pdb	97.20	-
95	rigidbody_96.pdb	97.45	-
96	rigidbody_26.pdb	97.64	-
97	rigidbody_138.pdb	98.25	-
98	rigidbody_171.pdb	98.75	-
99	rigidbody_165.pdb	98.82	-
100	rigidbody_194.pdb	98.92	-
101	rigidbody_147.pdb	99.74	-
102	rigidbody_31.pdb	99.78	-
