structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-133.7861
mdscoring_2.pdb	mdref_2.pdb	None	-128.4151
mdscoring_3.pdb	mdref_3.pdb	None	-135.33810000000003
mdscoring_4.pdb	mdref_4.pdb	None	-121.3408
mdscoring_5.pdb	mdref_5.pdb	None	-107.81809999999999
mdscoring_6.pdb	mdref_6.pdb	None	-132.2252
mdscoring_7.pdb	mdref_7.pdb	None	-120.66839999999999
mdscoring_8.pdb	mdref_8.pdb	None	-107.59536
mdscoring_9.pdb	mdref_9.pdb	None	-104.13230000000001
mdscoring_10.pdb	mdref_10.pdb	None	-115.5131
