rank	model_name	score	cluster_id
1	flexref_26.pdb	-145.36	-
2	flexref_1.pdb	-136.60	1
3	flexref_9.pdb	-119.72	1
4	flexref_25.pdb	-114.27	-
5	flexref_7.pdb	-113.04	1
6	flexref_23.pdb	-98.12	-
7	flexref_30.pdb	-95.86	-
8	flexref_12.pdb	-67.28	-
9	flexref_31.pdb	-64.90	-
10	flexref_2.pdb	-59.23	1
11	flexref_10.pdb	-55.07	1
12	flexref_21.pdb	-54.51	-
13	flexref_27.pdb	-52.36	-
14	flexref_15.pdb	-50.16	-
15	flexref_14.pdb	-48.76	-
16	flexref_22.pdb	-48.53	-
17	flexref_8.pdb	-48.09	1
18	flexref_3.pdb	-47.52	1
19	flexref_29.pdb	-44.71	-
20	flexref_36.pdb	-41.50	-
21	flexref_11.pdb	-40.57	-
22	flexref_4.pdb	-40.43	1
23	flexref_34.pdb	-38.33	-
24	flexref_16.pdb	-33.00	-
25	flexref_33.pdb	-32.82	-
26	flexref_17.pdb	-30.03	-
27	flexref_39.pdb	-28.77	-
28	flexref_40.pdb	-27.94	-
29	flexref_5.pdb	-21.47	1
30	flexref_38.pdb	-21.20	-
31	flexref_13.pdb	-18.53	-
32	flexref_32.pdb	-16.70	-
33	flexref_37.pdb	-11.47	-
34	flexref_6.pdb	-8.31	1
35	flexref_18.pdb	-5.83	-
36	flexref_19.pdb	3.11	-
37	flexref_20.pdb	7.05	-
38	flexref_24.pdb	17.12	-
39	flexref_28.pdb	22.64	-
40	flexref_35.pdb	37.79	-

