structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-164.21097000000003
mdscoring_2.pdb	mdref_2.pdb	None	-158.37208825000002
mdscoring_3.pdb	mdref_3.pdb	None	-144.43060000000003
mdscoring_4.pdb	mdref_4.pdb	None	-137.39210000000003
mdscoring_5.pdb	mdref_5.pdb	None	-145.55954
mdscoring_6.pdb	mdref_6.pdb	None	-145.42315
mdscoring_7.pdb	mdref_7.pdb	None	-141.85018900000003
mdscoring_8.pdb	mdref_8.pdb	None	-122.427
mdscoring_9.pdb	mdref_9.pdb	None	-151.61286
mdscoring_10.pdb	mdref_10.pdb	None	-128.48082
