structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-83.64953
mdscoring_2.pdb	mdref_2.pdb	None	-121.70299999999999
mdscoring_3.pdb	mdref_3.pdb	None	-90.64905
mdscoring_4.pdb	mdref_4.pdb	None	-81.13898
mdscoring_5.pdb	mdref_5.pdb	None	-100.59574
mdscoring_6.pdb	mdref_6.pdb	None	-83.85036000000001
mdscoring_7.pdb	mdref_7.pdb	None	-83.04432
mdscoring_8.pdb	mdref_8.pdb	None	-87.91538999999999
mdscoring_9.pdb	mdref_9.pdb	None	-79.645505
mdscoring_10.pdb	mdref_10.pdb	None	-108.22182000000001
