structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-141.91396
mdscoring_2.pdb	mdref_2.pdb	None	-137.93778
mdscoring_3.pdb	mdref_3.pdb	None	-135.90838
mdscoring_4.pdb	mdref_4.pdb	None	-122.00948000000001
mdscoring_5.pdb	mdref_5.pdb	None	-153.27261
mdscoring_6.pdb	mdref_6.pdb	None	-147.84718
mdscoring_7.pdb	mdref_7.pdb	None	-136.34133999999997
mdscoring_8.pdb	mdref_8.pdb	None	-128.117956
mdscoring_9.pdb	mdref_9.pdb	None	-138.9996
mdscoring_10.pdb	mdref_10.pdb	None	-131.03350999999998
