total,bonds,angles,improper,dihe,vdw,elec,air,cdih,coup,rdcs,vean,dani,xpcs,rg,desolv,bsa,experiment_id,model_name,haddock_score,best_model
-293.204, 0, 0, 0, 0, -70.9005, -222.303, 0, 0, 0, 0, 0, 0, 0, 0,-9.71438,1906.58,H5.3__EPI2800361,mdscoring_2.pdb,-125.08,True
-296.149, 0, 0, 0, 0, -61.1804, -234.968, 0, 0, 0, 0, 0, 0, 0, 0,-1.67054,1798.04,H5.3__EPI2800361,mdscoring_1.pdb,-109.84,False
-239.974, 0, 0, 0, 0, -58.3351, -181.639, 0, 0, 0, 0, 0, 0, 0, 0,-12.6004,1629.27,H5.3__EPI2800361,mdscoring_3.pdb,-107.26,False
-253.808, 0, 0, 0, 0, -57.9537, -195.854, 0, 0, 0, 0, 0, 0, 0, 0,-9.7026,1628.78,H5.3__EPI2800361,mdscoring_5.pdb,-106.83,False
-176.442, 0, 0, 0, 0, -59.6672, -116.774, 0, 0, 0, 0, 0, 0, 0, 0,-13.3127,1575.13,H5.3__EPI2800361,mdscoring_4.pdb,-96.33,False
-457.699, 0, 0, 0, 0, -59.2844, -398.415, 0, 0, 0, 0, 0, 0, 0, 0,4.38748,1834.48,AVFluIgG01__EPI454493,mdscoring_5.pdb,-134.58,True
-391.874, 0, 0, 0, 0, -71.2821, -320.592, 0, 0, 0, 0, 0, 0, 0, 0,6.25026,1819.62,AVFluIgG01__EPI454493,mdscoring_6.pdb,-129.15,False
-454.118, 0, 0, 0, 0, -62.6626, -391.455, 0, 0, 0, 0, 0, 0, 0, 0,12.9567,1907.67,AVFluIgG01__EPI454493,mdscoring_2.pdb,-128.0,False
-340.512, 0, 0, 0, 0, -71.6936, -268.818, 0, 0, 0, 0, 0, 0, 0, 0,-0.780262,2000.43,AVFluIgG01__EPI454493,mdscoring_7.pdb,-126.24,False
-419.698, 0, 0, 0, 0, -57.2754, -362.422, 0, 0, 0, 0, 0, 0, 0, 0,4.22794,1593.3,AVFluIgG01__EPI454493,mdscoring_3.pdb,-125.53,False
