experiment_id,model_name,bsa_best,bsa_max,bsa_mean,bsa_min,bsa_std,desolv_best,desolv_max,desolv_mean,desolv_min,desolv_std,elec_best,elec_max,elec_mean,elec_min,elec_std,haddock_score_best,haddock_score_max,haddock_score_mean,haddock_score_min,haddock_score_std,total_best,total_max,total_mean,total_min,total_std,vdw_best,vdw_max,vdw_mean,vdw_min,vdw_std
100F4__EPI101477,mdscoring_1.pdb,2489.36,2489.36,2193.21,1872.05,169.19457195128282,0.884684,1.64994,-0.00827920000000002,-2.51683,1.4035230989186382,-288.669,-211.348,-252.00259999999997,-288.669,24.319705938463436,-152.68,-107.12,-129.968,-152.68,14.391555239869735,-384.496,-297.726,-331.5614,-384.496,31.555942691600194,-95.8264,-60.9915,-79.55871999999998,-95.8264,11.011752039001086
100F4__EPI101843,mdscoring_1.pdb,2119.87,2119.87,1864.976,1645.39,139.2360974268766,10.5434,11.2388,6.815672999999999,2.54247,3.2619866600757614,-272.718,-160.2,-221.88000000000002,-274.991,43.98965440747278,-113.58,-84.77,-101.27099999999999,-113.58,11.0163751348214,-342.299,-226.121,-285.5899,-342.299,44.57137568352836,-69.5806,-54.2197,-63.70992,-69.5806,5.507457576333299
100F4__EPI101875,mdscoring_6.pdb,2278.42,2278.42,2121.084,1995.2,96.28421587501612,-6.63446,8.87359,-2.7090076000000005,-6.86963,4.860899256093149,-202.214,-159.386,-200.0903,-246.108,26.35683053804291,-144.85,-104.41,-120.304,-144.85,11.836625082063437,-299.983,-232.368,-277.666,-316.884,26.342276245187655,-97.7681,-66.7991,-77.57577999999998,-97.7681,8.901678913153908
100F4__EPI105698,mdscoring_9.pdb,2298.98,2357.72,2210.712,2045.72,101.96102804503306,4.96161,10.9792,6.380264000000001,2.49191,2.529124171457165,-220.483,-189.803,-238.325,-284.15,26.829490747641447,-128.49,-94.4,-115.59200000000001,-128.49,11.898969890055373,-309.841,-261.931,-312.6339,-357.212,27.696873471567166,-89.3576,-54.4627,-74.30865,-89.3576,9.67278921158043
100F4__EPI107813,mdscoring_2.pdb,2457.2,2457.2,2254.4100000000003,2040.74,133.82279393951484,12.9968,13.0475,8.983049999999999,5.52235,2.8398469899431005,-367.148,-219.131,-317.52059999999994,-395.118,59.403230746783095,-153.1,-108.37,-129.70099999999996,-153.1,17.353866331934984,-459.815,-294.58,-392.6997,-472.745,63.8830938182309,-92.6668,-65.4496,-75.17936,-92.6668,8.123490800033085
100F4__EPI107843,mdscoring_8.pdb,2505.33,2628.93,2441.089,2219.64,127.70748933489463,-38.6225,-19.8153,-29.590960000000003,-38.6225,6.391238411241857,-149.052,-98.9599,-142.59689000000003,-218.9,34.97951213097461,-159.05,-126.93,-146.551,-159.05,9.979432682606081,-239.669,-187.593,-231.03789999999998,-301.012,33.130030081651164,-90.6163,-74.7826,-88.44098,-95.993,6.692349949971899
100F4__EPI109421,mdscoring_2.pdb,1958.23,1958.23,1711.9720000000002,1491.11,125.1651545226013,8.16449,16.1011,10.977211,7.7826,2.575419364856268,-155.238,-139.399,-176.3038,-218.339,24.633649825661916,-93.29,-72.94,-83.03900000000002,-93.29,6.3209149302577705,-225.643,-211.406,-235.05880000000002,-271.729,19.87950939367804,-70.4058,-50.5613,-58.755010000000006,-72.0065,7.791828686436692
100F4__EPI1156382,mdscoring_9.pdb,2213.56,2399.01,2237.2219999999998,2060.64,100.83281275898662,-8.57675,9.15395,0.9129552000000001,-8.57675,5.22215109776687,-151.578,-151.578,-186.4565,-222.708,25.465147756841652,-136.81,-106.02,-118.965,-136.81,9.984835446259956,-249.499,-240.191,-269.0444,-311.323,24.81414021704381,-97.9205,-71.9953,-82.58799,-97.9205,9.129308357817209
100F4__EPI1158808,mdscoring_3.pdb,1945.46,2078.01,1845.507,1698.8,122.20093671672267,-17.7258,-11.9069,-17.97164,-27.2403,6.297951456748103,-230.676,-68.8505,-151.66493000000003,-230.676,58.61004005574187,-140.4,-101.79,-118.101,-140.4,12.145543718674027,-307.216,-130.087,-221.46180000000004,-307.216,61.71769032151334,-76.5395,-61.2368,-69.79686,-76.5395,5.428900616597147
100F4__EPI116497,mdscoring_3.pdb,2290.71,2441.73,2235.7709999999997,2162.0,80.78195142893435,-11.8981,7.02818,-0.12412690000000008,-11.8981,5.587946795804987,-258.912,-172.978,-224.3417,-268.506,34.115713925957586,-150.05,-104.01,-127.999,-150.05,14.257938490539217,-345.281,-242.2,-307.349,-360.141,39.3674488999337,-86.3697,-69.2219,-83.00743000000001,-91.6346,7.352280720981144
