rank	model_name	score	cluster_id
1	rigidbody_65.pdb	47.10	1
2	rigidbody_88.pdb	48.93	1
3	rigidbody_101.pdb	52.29	-
4	rigidbody_129.pdb	52.66	-
5	rigidbody_196.pdb	55.01	1
6	rigidbody_47.pdb	55.18	-
7	rigidbody_177.pdb	55.26	1
8	rigidbody_97.pdb	56.69	-
9	rigidbody_28.pdb	59.50	1
10	rigidbody_148.pdb	59.84	-
11	rigidbody_124.pdb	61.22	1
12	rigidbody_45.pdb	61.85	1
13	rigidbody_43.pdb	63.23	1
14	rigidbody_35.pdb	63.56	1
15	rigidbody_66.pdb	67.09	-
16	rigidbody_120.pdb	67.45	-
17	rigidbody_107.pdb	68.27	-
18	rigidbody_111.pdb	69.70	1
19	rigidbody_57.pdb	70.49	-
20	rigidbody_51.pdb	71.36	-
21	rigidbody_181.pdb	72.52	-
22	rigidbody_195.pdb	72.61	1
23	rigidbody_130.pdb	73.11	1
24	rigidbody_76.pdb	73.12	1
25	rigidbody_104.pdb	75.46	-
26	rigidbody_170.pdb	76.48	-
27	rigidbody_185.pdb	77.68	-
28	rigidbody_166.pdb	77.75	-
29	rigidbody_119.pdb	78.60	2
30	rigidbody_64.pdb	79.33	-
31	rigidbody_87.pdb	79.73	-
32	rigidbody_3.pdb	80.12	-
33	rigidbody_160.pdb	80.26	-
34	rigidbody_151.pdb	80.78	-
35	rigidbody_167.pdb	82.92	-
36	rigidbody_188.pdb	83.47	-
37	rigidbody_68.pdb	83.77	-
38	rigidbody_141.pdb	84.25	-
39	rigidbody_13.pdb	85.70	-
40	rigidbody_164.pdb	85.74	-
41	rigidbody_118.pdb	86.17	-
42	rigidbody_134.pdb	87.31	-
43	rigidbody_115.pdb	87.67	1
44	rigidbody_22.pdb	88.07	-
45	rigidbody_79.pdb	88.19	2
46	rigidbody_184.pdb	88.24	-
47	rigidbody_15.pdb	88.72	-
48	rigidbody_158.pdb	88.94	-
49	rigidbody_127.pdb	89.00	-
50	rigidbody_176.pdb	89.23	1
51	rigidbody_31.pdb	89.32	-
52	rigidbody_94.pdb	89.73	2
53	rigidbody_62.pdb	89.91	-
54	rigidbody_91.pdb	90.22	-
55	rigidbody_98.pdb	90.51	1
56	rigidbody_172.pdb	90.53	-
57	rigidbody_9.pdb	90.71	-
58	rigidbody_54.pdb	91.39	-
59	rigidbody_161.pdb	91.73	-
60	rigidbody_96.pdb	92.17	-
61	rigidbody_69.pdb	92.37	2
62	rigidbody_102.pdb	93.06	-
63	rigidbody_70.pdb	93.26	1
64	rigidbody_106.pdb	93.93	-
65	rigidbody_137.pdb	94.09	-
66	rigidbody_19.pdb	94.25	-
67	rigidbody_30.pdb	95.28	2
68	rigidbody_26.pdb	95.40	-
69	rigidbody_23.pdb	95.41	-
70	rigidbody_157.pdb	95.44	-
71	rigidbody_40.pdb	95.59	-
72	rigidbody_144.pdb	96.58	-
73	rigidbody_198.pdb	96.72	-
74	rigidbody_139.pdb	97.26	-
