structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-103.11779
mdscoring_2.pdb	mdref_2.pdb	None	-108.66084000000001
mdscoring_3.pdb	mdref_3.pdb	None	-84.38291000000002
mdscoring_4.pdb	mdref_4.pdb	None	-87.9571
mdscoring_5.pdb	mdref_5.pdb	None	-97.57029
mdscoring_6.pdb	mdref_6.pdb	None	-88.79602
mdscoring_7.pdb	mdref_7.pdb	None	-98.38307000000002
mdscoring_8.pdb	mdref_8.pdb	None	-89.64596999999999
mdscoring_9.pdb	mdref_9.pdb	None	-88.31128000000001
mdscoring_10.pdb	mdref_10.pdb	None	-82.736
