structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-108.46020999999999
mdscoring_2.pdb	mdref_2.pdb	None	-106.84316899999999
mdscoring_3.pdb	mdref_3.pdb	None	-91.14877
mdscoring_4.pdb	mdref_4.pdb	None	-107.15904000000002
mdscoring_5.pdb	mdref_5.pdb	None	-89.06775000000002
mdscoring_6.pdb	mdref_6.pdb	None	-100.79252000000001
mdscoring_7.pdb	mdref_7.pdb	None	-103.53623999999999
mdscoring_8.pdb	mdref_8.pdb	None	-95.81057400000002
mdscoring_9.pdb	mdref_9.pdb	None	-102.26269
mdscoring_10.pdb	mdref_10.pdb	None	-94.22015
