rank	model_name	score	cluster_id
1	flexref_5.pdb	-235.62	1
2	flexref_2.pdb	-226.49	1
3	flexref_6.pdb	-206.22	1
4	flexref_4.pdb	-201.88	1
5	flexref_1.pdb	-199.89	1
6	flexref_9.pdb	-188.27	1
7	flexref_47.pdb	-186.22	-
8	flexref_28.pdb	-177.50	-
9	flexref_8.pdb	-176.45	1
10	flexref_24.pdb	-172.86	-
11	flexref_23.pdb	-167.48	-
12	flexref_30.pdb	-165.54	-
13	flexref_44.pdb	-164.18	-
14	flexref_10.pdb	-163.31	1
15	flexref_50.pdb	-148.16	-
16	flexref_3.pdb	-144.09	1
17	flexref_25.pdb	-142.21	-
18	flexref_45.pdb	-136.85	-
19	flexref_13.pdb	-133.35	-
20	flexref_29.pdb	-129.85	-
21	flexref_43.pdb	-128.72	-
22	flexref_40.pdb	-128.67	-
23	flexref_22.pdb	-125.81	-
24	flexref_42.pdb	-124.57	-
25	flexref_19.pdb	-124.25	-
26	flexref_49.pdb	-122.11	-
27	flexref_37.pdb	-117.51	-
28	flexref_7.pdb	-117.27	1
29	flexref_12.pdb	-116.55	-
30	flexref_16.pdb	-116.39	-
31	flexref_48.pdb	-115.22	-
32	flexref_27.pdb	-112.52	-
33	flexref_21.pdb	-111.08	-
34	flexref_11.pdb	-109.19	-
35	flexref_36.pdb	-107.55	-
36	flexref_14.pdb	-107.41	-
37	flexref_41.pdb	-105.90	-
38	flexref_26.pdb	-99.97	-
39	flexref_33.pdb	-97.90	-
40	flexref_17.pdb	-96.27	-
41	flexref_35.pdb	-89.10	-
42	flexref_32.pdb	-88.74	-
43	flexref_38.pdb	-81.94	-
44	flexref_20.pdb	-73.89	-
45	flexref_39.pdb	-68.17	-
46	flexref_46.pdb	-67.61	-
47	flexref_34.pdb	-61.36	-
48	flexref_18.pdb	-50.66	-
49	flexref_15.pdb	-27.00	-

