rank	model_name	score	cluster_id
1	flexref_12.pdb	-172.35	-
2	flexref_1.pdb	-166.94	1
3	flexref_6.pdb	-139.39	1
4	flexref_5.pdb	-134.32	1
5	flexref_13.pdb	-128.01	-
6	flexref_17.pdb	-121.40	-
7	flexref_3.pdb	-112.18	1
8	flexref_7.pdb	-108.60	1
9	flexref_19.pdb	-101.25	-
10	flexref_10.pdb	-70.20	1
11	flexref_14.pdb	-69.30	-
12	flexref_9.pdb	-67.99	1
13	flexref_20.pdb	-66.53	-
14	flexref_8.pdb	-66.01	1
15	flexref_11.pdb	-62.47	-
16	flexref_2.pdb	-49.67	1
17	flexref_15.pdb	-25.11	-
18	flexref_4.pdb	-14.12	-
19	flexref_18.pdb	-2.78	-
20	flexref_16.pdb	10.45	-

