antigen_id,antigen_host_class,antigen_host_order,antigen_host_family,antigen_host_genus,antigen_host_species,antigen_collection_location_continent,antigen_collection_location_country,antigen_collection_location_region,antigen_collection_year
EPI3358339,Mammalia,Primates,Hominidae,Homo,sapiens,North America,Mexico,State of Mexico,2024
EPI4795,Aves,Anseriformes,Anatidae,,,North America,United States,Minnesota,1981
EPI1990120,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Turkey,,2005
EPI1989697,Aves,Not Specified,,,,Asia,Myanmar,,2005
EPI1989804,Aves,Not Specified,,,,Asia,Indonesia,Bali,2006
EPI356510,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI125662,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2007
EPI331854,Aves,Anseriformes,Anatidae,,,North America,United States,,2007
EPI321295,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI257054,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2008
EPI257055,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2008
EPI257056,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2008
EPI257058,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2008
EPI257059,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2008
EPI2584443,Aves,Not Specified,,,,Asia,China,Qinghai Province,2008
EPI254385,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2008
EPI310238,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2009
EPI259006,Aves,Not Specified,,,,Asia,China,Qinghai Province,2009
EPI398310,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,Giza,2009
EPI283787,Aves,Anseriformes,Anatidae,,,Africa,Egypt,,2010
EPI335206,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI314033,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2010
EPI257053,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2010
EPI2580134,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2010
EPI475563,Aves,Anseriformes,Anatidae,,,Asia,China,,2011
EPI371190,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2011
EPI341364,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Cambodia,,2011
EPI448231,Aves,Not Specified,,,,Asia,Bangladesh,,2011
EPI369182,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2011
EPI467792,Aves,Anseriformes,Anatidae,,,Europe,Russian Federation,,2011
EPI764389,Aves,Anseriformes,Anatidae,,,Asia,China,,2012
EPI398581,Aves,Anseriformes,Anatidae,,,Africa,Egypt,,2012
EPI593757,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2012
EPI559078,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2012
EPI675773,Aves,Anseriformes,Anatidae,,,Asia,China,,2013
EPI559109,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI420386,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,Guizhou Province,2013
EPI1536787,Aves,Anseriformes,Anatidae,,,Asia,China,,2013
EPI454493,Environment,Not Specified,,,,Asia,China,Zhejiang Province (Hangzhou City),2013
EPI471131,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI537677,Environment,Not Specified,,,,Asia,Indonesia,West Java,2013
EPI589108,Environment,Not Specified,,,,Asia,Cambodia,Khett Takev,2013
EPI1158808,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2014
EPI597820,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2014
EPI597824,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2014
EPI1156382,Aves,Anseriformes,Anatidae,,,Europe,France,,2015
EPI658567,Aves,Anseriformes,Anatidae,,,Asia,China,,2015
EPI808932,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2015
EPI687187,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,Fife,2016
EPI893474,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,,2016
EPI2144291,,Not Specified,,,,Oceania,Australia,Victoria,2017
EPI1381432,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,Beni Suef,2017
EPI1772163,Mammalia,Carnivora,Mustelidae,,,Asia,China,,2018
EPI1887774,Aves,Galliformes,Phasianidae,Meleagris,,Asia,Bangladesh,,2019
EPI1694134,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Denmark,Region Nordjylland,2020
EPI214889,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2021
EPI2467482,Aves,Anseriformes,Anatidae,,,Asia,Bangladesh,,2021
EPI2017778,Aves,Not Specified,,,,Africa,Botswana,,2021
EPI2017755,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Botswana,,2021
EPI2017747,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Botswana,,2021
EPI3009059,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Central Java,2022
EPI2856448,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2437377,Mammalia,Not Specified,,,,Europe,United Kingdom,Scotland,2023
EPI2419700,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Cambodia,Khett Prey Veng,2023
EPI2573872,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,South Kalimantan (Amuntai),2023
EPI2574086,Aves,Not Specified,,,,Europe,United Kingdom,England,2023
EPI3009174,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Cambodia,Khett Kracheh,2024
EPI3158642,Aves,Not Specified,,,,Europe,Germany,,2024
EPI2035802,Environment,Not Specified,,,,Asia,China,Guangdong Province,1996
EPI162929,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Hong Kong,,2003
EPI356507,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2005
EPI2035316,Aves,Not Specified,,,,Asia,Indonesia,Central Java,2007
EPI2035331,Aves,Not Specified,,,,Asia,Indonesia,North Sumatra,2007
EPI2035335,Aves,Not Specified,,,,Asia,Indonesia,West Sumatra,2007
EPI2035341,Aves,Not Specified,,,,Asia,Indonesia,Pekalonguru,2007
EPI2035350,Aves,Not Specified,,,,Asia,Indonesia,West Sumatra,2007
EPI2035359,Aves,Not Specified,,,,Asia,Indonesia,West Sumatra,2007
EPI2584621,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,,2007
EPI463648,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2007
EPI2579954,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,Dorset,2008
EPI2579955,Aves,Anseriformes,Anatidae,,,Europe,United Kingdom,Dorset,2008
EPI2579956,Aves,Galliformes,Phasianidae,Meleagris,,Europe,United Kingdom,Dorset,2008
EPI2579958,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,Dorset,2008
EPI1272982,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1272990,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1272998,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1273006,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1273022,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1273062,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1892876,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892877,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892882,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892885,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892887,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892889,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892892,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2010
EPI1892899,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1892902,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1892903,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1892905,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
EPI1892906,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Hunan Province,2010
