rank	model_name	score	cluster_id
1	flexref_1.pdb	-143.31	1
2	flexref_31.pdb	-140.92	3
3	flexref_36.pdb	-131.52	3
4	flexref_33.pdb	-125.82	3
5	flexref_39.pdb	-123.96	3
6	flexref_46.pdb	-121.67	2
7	flexref_14.pdb	-120.05	1
8	flexref_40.pdb	-115.01	3
9	flexref_16.pdb	-114.18	1
10	flexref_5.pdb	-113.58	1
11	flexref_44.pdb	-112.07	2
12	flexref_12.pdb	-111.17	1
13	flexref_42.pdb	-110.51	2
14	flexref_34.pdb	-109.49	3
15	flexref_43.pdb	-102.74	2
16	flexref_32.pdb	-97.44	3
17	flexref_2.pdb	-96.79	1
18	flexref_45.pdb	-87.56	2
19	flexref_41.pdb	-87.56	2
20	flexref_49.pdb	-82.33	2
21	flexref_35.pdb	-80.88	3
22	flexref_3.pdb	-80.78	-
23	flexref_9.pdb	-80.34	1
24	flexref_47.pdb	-76.62	2
25	flexref_6.pdb	-75.84	1
26	flexref_20.pdb	-75.29	-
27	flexref_37.pdb	-73.63	3
28	flexref_17.pdb	-71.49	1
29	flexref_10.pdb	-71.28	1
30	flexref_48.pdb	-67.77	2
31	flexref_13.pdb	-67.05	-
32	flexref_50.pdb	-62.85	2
33	flexref_4.pdb	-62.58	1
34	flexref_7.pdb	-58.64	1
35	flexref_38.pdb	-56.99	3
36	flexref_15.pdb	-56.07	-
37	flexref_11.pdb	-49.65	1
38	flexref_18.pdb	-46.64	-
39	flexref_19.pdb	-28.95	-
40	flexref_8.pdb	-28.39	-
41	flexref_21.pdb	-25.98	4
42	flexref_22.pdb	-11.54	4
43	flexref_26.pdb	-11.19	4
44	flexref_28.pdb	-1.90	4
45	flexref_25.pdb	10.96	4
46	flexref_23.pdb	12.54	4
47	flexref_30.pdb	19.78	4
48	flexref_24.pdb	27.73	4
49	flexref_27.pdb	35.12	4
50	flexref_29.pdb	44.77	4

