structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-172.66600000000003
mdscoring_2.pdb	mdref_2.pdb	None	-185.57710000000003
mdscoring_3.pdb	mdref_3.pdb	None	-176.27100000000002
mdscoring_4.pdb	mdref_4.pdb	None	-172.93310000000002
mdscoring_5.pdb	mdref_5.pdb	None	-164.1594
mdscoring_6.pdb	mdref_6.pdb	None	-173.9133
mdscoring_7.pdb	mdref_7.pdb	None	-170.64370000000002
mdscoring_8.pdb	mdref_8.pdb	None	-171.3787
mdscoring_9.pdb	mdref_9.pdb	None	-167.28959999999998
mdscoring_10.pdb	mdref_10.pdb	None	-167.6785
