protein	ged	num_ir
EPI101477	12.0	9
EPI101843	35.0	9
EPI101875	25.0	6
EPI105698	19.0	12
EPI107813	26.0	8
EPI107843	25.0	5
EPI109421	24.0	13
EPI1156382	29.0	6
EPI1158808	11.0	11
EPI116497	32.0	11
EPI123402	18.0	12
EPI125662	32.0	10
EPI127738	16.0	13
EPI1303228	37.0	14
EPI1328383	12.0	11
EPI1381432	22.0	8
EPI1517056	12.0	8
EPI1536787	21.0	11
EPI1552374	29.0	7
EPI1650	30.0	10
EPI167553	26.0	10
EPI167665	37.0	11
EPI168674	13.0	10
EPI1694134	36.0	10
EPI1772163	29.0	9
EPI1887774	33.0	12
EPI1947325	29.0	9
EPI1989697	29.0	12
EPI1989804	30.0	9
EPI1990120	36.0	13
EPI2017747	42.0	13
EPI2017755	26.0	6
EPI2017778	27.0	9
EPI2035782	40.0	12
EPI2035785	18.0	9
EPI21062	23.0	7
EPI21066	33.0	10
EPI2116742	27.0	7
EPI2144291	12.0	7
EPI214889	11.0	10
EPI2198548	33.0	10
EPI221986	24.0	4
EPI222018	10.0	8
EPI222476	35.0	14
EPI22627	32.0	8
EPI226839	26.0	8
EPI226841	25.0	8
EPI226845	16.0	11
EPI22793	32.0	6
EPI2300436	26.0	11
EPI234494	25.0	6
EPI234497	23.0	8
EPI235072	30.0	8
EPI235171	16.0	13
EPI235902	28.0	7
EPI239055	29.0	8
EPI2419700	33.0	13
EPI242227	0.0	9
EPI2429052	30.0	10
EPI243001	24.0	6
EPI2437377	31.0	9
EPI2437547	35.0	9
EPI2467482	28.0	13
EPI25011	23.0	7
EPI25072	26.0	5
EPI25076	20.0	11
EPI254385	30.0	6
EPI257053	16.0	12
EPI257054	20.0	11
EPI257055	30.0	11
EPI257056	27.0	7
EPI257058	26.0	9
EPI257059	10.0	7
EPI2573872	29.0	6
EPI2574086	29.0	7
EPI2580054	24.0	5
EPI2580066	27.0	9
EPI2580084	12.0	11
EPI2580091	23.0	7
EPI2580092	29.0	9
EPI2580113	13.0	11
EPI2580115	27.0	7
EPI2580134	25.0	8
EPI2580187	33.0	11
EPI2584443	25.0	8
EPI259006	15.0	12
EPI275758	26.0	6
EPI275782	19.0	8
EPI275790	25.0	6
EPI275822	28.0	5
EPI275862	31.0	8
EPI275878	29.0	7
EPI275974	28.0	8
EPI275990	11.0	7
EPI2800361	17.0	8
EPI2800377	33.0	8
EPI283783	21.0	11
EPI283787	27.0	7
EPI284432	23.0	8
EPI2856448	30.0	7
EPI287236	20.0	6
EPI3009059	17.0	11
EPI3009174	23.0	6
EPI310238	15.0	8
EPI314033	16.0	11
EPI3158642	31.0	12
EPI3178330	30.0	13
EPI318210	23.0	10
EPI321295	15.0	13
EPI321328	34.0	10
EPI328886	13.0	10
EPI331854	9.0	10
EPI335206	24.0	8
EPI3358339	24.0	15
EPI340399	17.0	10
EPI340788	10.0	10
EPI340796	30.0	7
EPI341364	33.0	11
EPI354429	25.0	8
EPI355443	12.0	13
EPI356510	22.0	12
EPI359214	23.0	4
EPI359864	19.0	11
EPI359867	24.0	9
EPI359880	30.0	11
EPI359882	27.0	11
EPI369182	27.0	8
EPI371190	28.0	9
EPI398310	17.0	14
EPI398581	7.0	9
EPI414084	29.0	7
EPI420386	22.0	5
EPI448231	35.0	11
EPI454493	25.0	7
EPI467792	33.0	9
EPI471131	32.0	8
EPI475563	27.0	6
EPI476972	29.0	8
EPI4795	22.0	7
EPI4801	24.0	8
EPI492324	27.0	9
EPI533388	29.0	7
EPI533427	19.0	8
EPI533432	35.0	10
EPI537677	33.0	10
EPI559078	28.0	7
EPI559098	30.0	9
EPI559109	33.0	9
EPI589108	22.0	7
EPI593757	23.0	6
EPI597820	24.0	9
EPI597824	25.0	7
EPI600770	25.0	7
EPI653115	30.0	10
EPI658567	25.0	5
EPI675773	31.0	9
EPI687187	27.0	8
EPI764389	24.0	4
EPI808932	36.0	11
EPI839728	24.0	6
EPI893474	24.0	4
EPI940674	21.0	7
EPI9640	35.0	12
EPI97199	29.0	9
