protein	ged	num_ir
EPI597824	22.0	3
EPI2017778	20.0	4
EPI658567	19.0	4
EPI226845	23.0	5
EPI2574086	22.0	5
EPI1158808	23.0	5
EPI22627	21.0	5
EPI3358339	19.0	5
EPI275974	28.0	5
EPI1303228	24.0	5
EPI893474	23.0	6
EPI318210	25.0	6
EPI764389	27.0	6
EPI275782	22.0	6
EPI559078	26.0	6
EPI2116742	21.0	6
EPI1887774	26.0	6
EPI275862	21.0	6
EPI448231	26.0	6
EPI340788	17.0	6
EPI1517056	21.0	7
EPI4801	26.0	7
EPI275758	26.0	7
EPI168674	16.0	7
EPI2580054	25.0	7
EPI259006	25.0	7
EPI2580115	25.0	7
EPI559109	24.0	7
EPI243001	23.0	7
EPI471131	23.0	7
EPI101875	23.0	7
EPI593757	24.0	7
EPI257058	21.0	7
EPI25011	21.0	7
EPI22793	22.0	8
EPI2144291	17.0	8
EPI1552374	28.0	8
EPI369182	17.0	8
EPI533427	21.0	8
EPI2800361	25.0	8
EPI257059	25.0	8
EPI25072	21.0	8
EPI1989804	31.0	8
EPI275822	27.0	8
EPI109421	21.0	8
EPI275878	13.0	8
EPI167553	26.0	8
EPI4795	26.0	8
EPI3009174	28.0	8
EPI371190	20.0	8
EPI328886	24.0	8
EPI242227	0.0	8
EPI239055	20.0	8
EPI101843	17.0	8
EPI533388	20.0	8
EPI21066	24.0	8
EPI2300436	22.0	8
EPI354429	21.0	8
EPI653115	19.0	8
EPI257056	26.0	8
EPI359880	22.0	8
EPI2573872	29.0	8
EPI310238	29.0	9
EPI235072	30.0	9
EPI359214	27.0	9
EPI597820	27.0	9
EPI284432	29.0	9
EPI537677	36.0	9
EPI1694134	29.0	9
EPI2419700	32.0	9
EPI127738	29.0	9
EPI3158642	29.0	9
EPI235902	29.0	9
EPI335206	28.0	9
EPI808932	27.0	9
EPI287236	29.0	9
EPI420386	27.0	9
EPI2580134	26.0	9
EPI2437377	19.0	9
EPI356510	20.0	9
EPI1650	26.0	9
EPI2584443	20.0	9
EPI331854	20.0	9
EPI414084	22.0	9
EPI275790	23.0	9
EPI25076	23.0	9
EPI340399	24.0	9
EPI2580092	24.0	9
EPI533432	25.0	9
EPI107843	20.0	9
EPI675773	26.0	9
EPI1947325	35.0	10
EPI226839	34.0	10
EPI492324	32.0	10
EPI167665	32.0	10
EPI257054	32.0	10
EPI321328	31.0	10
EPI398310	26.0	10
EPI1156382	30.0	10
EPI341364	26.0	10
EPI2017755	21.0	10
EPI221986	29.0	10
EPI321295	29.0	10
EPI234494	26.0	10
EPI475563	28.0	10
EPI257055	27.0	10
EPI226841	25.0	10
EPI283787	27.0	10
EPI254385	25.0	10
EPI3009059	28.0	10
EPI2856448	28.0	10
EPI359882	28.0	10
EPI2800377	28.0	10
EPI1772163	26.0	10
EPI2035785	27.0	10
EPI21062	36.0	11
EPI235171	26.0	11
EPI2437547	37.0	11
EPI839728	25.0	11
EPI222476	33.0	11
EPI101477	33.0	11
EPI467792	38.0	11
EPI600770	32.0	11
EPI234497	38.0	11
EPI2429052	32.0	11
EPI1990120	32.0	11
EPI222018	32.0	11
EPI2017747	36.0	11
EPI123402	34.0	11
EPI1536787	33.0	11
EPI1381432	32.0	11
EPI275990	32.0	11
EPI1328383	31.0	11
EPI2580084	31.0	11
EPI116497	31.0	11
EPI125662	24.0	11
EPI2580091	24.0	11
EPI340796	42.0	12
EPI687187	29.0	12
EPI359867	29.0	12
EPI1989697	37.0	12
EPI97199	37.0	12
EPI589108	36.0	12
EPI314033	27.0	12
EPI105698	30.0	12
EPI359864	35.0	12
EPI559098	42.0	12
EPI2467482	30.0	12
EPI2580066	31.0	12
EPI283783	34.0	12
EPI355443	34.0	12
EPI107813	33.0	12
EPI9640	28.0	12
EPI454493	32.0	12
EPI214889	42.0	12
EPI257053	34.0	13
EPI2580187	38.0	13
EPI2198548	38.0	13
EPI476972	39.0	13
EPI2035782	41.0	13
EPI398581	29.0	14
EPI2580113	41.0	14
EPI3178330	42.0	14
EPI940674	38.0	15
