protein	ged	num_ir
EPI101477	28.0	7
EPI101843	37.0	14
EPI101875	27.0	7
EPI105698	28.0	9
EPI107813	32.0	8
EPI107843	25.0	3
EPI109421	24.0	7
EPI1156382	32.0	10
EPI1158808	22.0	6
EPI116497	23.0	12
EPI123402	18.0	11
EPI125662	25.0	10
EPI127738	37.0	12
EPI1303228	28.0	10
EPI1328383	22.0	6
EPI1381432	26.0	11
EPI1517056	32.0	8
EPI1536787	28.0	10
EPI1552374	25.0	10
EPI1650	37.0	10
EPI167553	25.0	6
EPI167665	22.0	7
EPI168674	20.0	8
EPI1694134	23.0	7
EPI1772163	30.0	10
EPI1887774	39.0	13
EPI1947325	27.0	9
EPI1989697	25.0	6
EPI1989804	24.0	6
EPI1990120	14.0	10
EPI2017747	23.0	6
EPI2017755	29.0	8
EPI2017778	24.0	6
EPI2035782	23.0	10
EPI2035785	32.0	13
EPI21062	24.0	8
EPI21066	26.0	8
EPI2116742	18.0	10
EPI2144291	31.0	13
EPI214889	25.0	11
EPI2198548	28.0	10
EPI221986	19.0	6
EPI222018	25.0	8
EPI222476	16.0	9
EPI22627	32.0	13
EPI226839	26.0	8
EPI226841	26.0	5
EPI226845	24.0	6
EPI22793	19.0	8
EPI2300436	21.0	9
EPI234494	26.0	8
EPI234497	32.0	11
EPI235072	27.0	9
EPI235171	22.0	8
EPI235902	26.0	8
EPI239055	27.0	7
EPI2419700	29.0	11
EPI242227	0.0	11
EPI2429052	30.0	9
EPI243001	26.0	10
EPI2437377	20.0	7
EPI2437547	29.0	11
EPI2467482	16.0	8
EPI25011	25.0	10
EPI25072	24.0	6
EPI25076	14.0	11
EPI254385	24.0	6
EPI257053	36.0	13
EPI257054	23.0	8
EPI257055	41.0	12
EPI257056	26.0	7
EPI257058	16.0	7
EPI257059	29.0	12
EPI2573872	22.0	7
EPI2574086	25.0	7
EPI2580054	23.0	6
EPI2580066	41.0	13
EPI2580084	20.0	6
EPI2580091	15.0	7
EPI2580092	25.0	5
EPI2580113	24.0	11
EPI2580115	26.0	8
EPI2580134	27.0	6
EPI2580187	27.0	11
EPI2584443	27.0	8
EPI259006	35.0	14
EPI275758	26.0	9
EPI275782	29.0	5
EPI275790	26.0	10
EPI275822	24.0	7
EPI275862	26.0	7
EPI275878	24.0	6
EPI275974	26.0	8
EPI275990	40.0	10
EPI2800361	20.0	11
EPI2800377	28.0	10
EPI283783	25.0	6
EPI283787	27.0	3
EPI284432	25.0	7
EPI2856448	19.0	10
EPI287236	23.0	7
EPI3009059	26.0	3
EPI3009174	28.0	6
EPI310238	30.0	11
EPI314033	10.0	9
EPI3158642	25.0	3
EPI3178330	25.0	8
EPI318210	26.0	7
EPI321295	11.0	9
EPI321328	28.0	9
EPI328886	17.0	9
EPI331854	18.0	8
EPI335206	27.0	8
EPI3358339	23.0	8
EPI340399	32.0	9
EPI340788	29.0	12
EPI340796	27.0	8
EPI341364	27.0	4
EPI354429	16.0	8
EPI355443	26.0	9
EPI356510	31.0	12
EPI359214	27.0	10
EPI359864	18.0	8
EPI359867	17.0	8
EPI359880	25.0	6
EPI359882	19.0	8
EPI369182	25.0	10
EPI371190	28.0	4
EPI398310	24.0	9
EPI398581	16.0	8
EPI414084	24.0	5
EPI420386	27.0	9
EPI448231	25.0	6
EPI454493	24.0	10
EPI467792	23.0	6
EPI471131	33.0	11
EPI475563	24.0	6
EPI476972	26.0	7
EPI4795	23.0	5
EPI4801	33.0	10
EPI492324	25.0	8
EPI533388	29.0	10
EPI533427	27.0	7
EPI533432	27.0	8
EPI537677	26.0	6
EPI559078	27.0	7
EPI559098	26.0	6
EPI559109	24.0	7
EPI589108	27.0	9
EPI593757	24.0	6
EPI597820	25.0	5
EPI597824	25.0	4
EPI600770	22.0	6
EPI653115	27.0	6
EPI658567	24.0	6
EPI675773	29.0	10
EPI687187	23.0	4
EPI764389	26.0	4
EPI808932	29.0	10
EPI839728	33.0	12
EPI893474	24.0	4
EPI940674	31.0	12
EPI9640	23.0	8
EPI97199	24.0	10
