protein	ged	num_ir
EPI101477	29.0	11
EPI101843	42.0	12
EPI101875	41.0	12
EPI105698	28.0	8
EPI107813	29.0	9
EPI107843	31.0	7
EPI109421	38.0	9
EPI1156382	26.0	7
EPI1158808	31.0	6
EPI116497	31.0	10
EPI123402	38.0	13
EPI125662	34.0	7
EPI127738	32.0	8
EPI1303228	32.0	13
EPI1328383	25.0	6
EPI1381432	33.0	7
EPI1517056	34.0	3
EPI1536787	36.0	8
EPI1552374	34.0	10
EPI1650	30.0	6
EPI167553	34.0	10
EPI167665	34.0	9
EPI168674	37.0	7
EPI1694134	38.0	11
EPI1772163	34.0	12
EPI1887774	33.0	9
EPI1947325	31.0	6
EPI1989697	32.0	8
EPI1989804	30.0	8
EPI1990120	40.0	12
EPI2017747	32.0	7
EPI2017755	36.0	7
EPI2017778	32.0	7
EPI2035782	48.0	14
EPI2035785	41.0	10
EPI21062	34.0	12
EPI21066	35.0	10
EPI2116742	30.0	7
EPI2144291	26.0	10
EPI214889	33.0	10
EPI2198548	38.0	10
EPI221986	30.0	8
EPI222018	30.0	6
EPI222476	38.0	11
EPI22627	36.0	9
EPI226839	31.0	8
EPI226841	30.0	11
EPI226845	29.0	5
EPI22793	33.0	10
EPI2300436	29.0	7
EPI234494	31.0	4
EPI234497	33.0	10
EPI235072	31.0	6
EPI235171	30.0	10
EPI235902	28.0	11
EPI239055	33.0	8
EPI2419700	30.0	8
EPI242227	0.0	10
EPI2429052	35.0	10
EPI243001	38.0	13
EPI2437377	30.0	8
EPI2437547	47.0	14
EPI2467482	32.0	9
EPI25011	37.0	7
EPI25072	34.0	10
EPI25076	36.0	9
EPI254385	33.0	7
EPI257053	36.0	12
EPI257054	30.0	9
EPI257055	30.0	8
EPI257056	36.0	11
EPI257058	39.0	9
EPI257059	35.0	7
EPI2573872	35.0	10
EPI2574086	30.0	7
EPI2580054	34.0	14
EPI2580066	35.0	7
EPI2580084	34.0	10
EPI2580091	30.0	10
EPI2580092	49.0	14
EPI2580113	33.0	7
EPI2580115	37.0	15
EPI2580134	31.0	5
EPI2580187	32.0	9
EPI2584443	35.0	8
EPI259006	35.0	8
EPI275758	32.0	9
EPI275782	27.0	10
EPI275790	34.0	6
EPI275822	31.0	6
EPI275862	33.0	6
EPI275878	32.0	12
EPI275974	31.0	13
EPI275990	32.0	7
EPI2800361	28.0	6
EPI2800377	30.0	8
EPI283783	34.0	8
EPI283787	33.0	9
EPI284432	35.0	9
EPI2856448	29.0	9
EPI287236	36.0	14
EPI3009059	33.0	6
EPI3009174	33.0	10
EPI310238	38.0	12
EPI314033	28.0	3
EPI3158642	34.0	7
EPI3178330	38.0	10
EPI318210	32.0	11
EPI321295	33.0	8
EPI321328	32.0	4
EPI328886	32.0	9
EPI331854	37.0	15
EPI335206	39.0	13
EPI3358339	37.0	12
EPI340399	27.0	9
EPI340788	31.0	8
EPI340796	31.0	8
EPI341364	31.0	9
EPI354429	34.0	5
EPI355443	56.0	17
EPI356510	31.0	12
EPI359214	31.0	4
EPI359864	36.0	12
EPI359867	32.0	7
EPI359880	32.0	3
EPI359882	35.0	9
EPI369182	32.0	8
EPI371190	31.0	9
EPI398310	36.0	9
EPI398581	36.0	10
EPI414084	32.0	4
EPI420386	40.0	9
EPI448231	32.0	6
EPI454493	32.0	6
EPI467792	31.0	10
EPI471131	29.0	3
EPI475563	34.0	7
EPI476972	35.0	9
EPI4795	32.0	7
EPI4801	38.0	11
EPI492324	26.0	10
EPI533388	54.0	14
EPI533427	31.0	7
EPI533432	31.0	8
EPI537677	34.0	10
EPI559078	36.0	6
EPI559098	29.0	9
EPI559109	35.0	12
EPI589108	37.0	10
EPI593757	38.0	8
EPI597820	36.0	7
EPI597824	34.0	6
EPI600770	39.0	10
EPI653115	46.0	15
EPI658567	33.0	9
EPI675773	36.0	9
EPI687187	32.0	6
EPI764389	29.0	4
EPI808932	34.0	4
EPI839728	40.0	13
EPI893474	30.0	4
EPI940674	43.0	10
EPI9640	34.0	11
EPI97199	35.0	14
