protein	ged	num_ir
EPI101477	31.0	12
EPI101843	34.0	12
EPI101875	15.0	7
EPI105698	32.0	12
EPI107813	40.0	15
EPI107843	20.0	7
EPI109421	23.0	9
EPI1156382	21.0	9
EPI1158808	22.0	8
EPI116497	29.0	12
EPI123402	37.0	14
EPI125662	38.0	14
EPI127738	24.0	8
EPI1303228	15.0	5
EPI1328383	11.0	6
EPI1381432	25.0	11
EPI1517056	31.0	9
EPI1536787	23.0	10
EPI1552374	22.0	7
EPI1650	20.0	8
EPI167553	31.0	11
EPI167665	12.0	5
EPI168674	34.0	11
EPI1694134	37.0	12
EPI1772163	36.0	14
EPI1887774	23.0	7
EPI1947325	22.0	8
EPI1989697	20.0	8
EPI1989804	23.0	8
EPI1990120	23.0	9
EPI2017747	33.0	12
EPI2017755	12.0	6
EPI2017778	20.0	8
EPI2035782	29.0	11
EPI2035785	33.0	11
EPI21062	20.0	7
EPI21066	46.0	15
EPI2116742	29.0	10
EPI2144291	20.0	8
EPI214889	13.0	5
EPI2198548	29.0	12
EPI221986	20.0	7
EPI222018	15.0	7
EPI222476	32.0	13
EPI22627	42.0	14
EPI226839	22.0	9
EPI226841	15.0	5
EPI226845	20.0	9
EPI22793	30.0	12
EPI2300436	14.0	6
EPI234494	13.0	6
EPI234497	22.0	7
EPI235072	16.0	7
EPI235171	21.0	8
EPI235902	12.0	7
EPI239055	14.0	4
EPI2419700	27.0	8
EPI242227	0.0	7
EPI2429052	20.0	7
EPI243001	26.0	8
EPI2437377	25.0	9
EPI2437547	40.0	13
EPI2467482	33.0	10
EPI25011	14.0	6
EPI25072	15.0	5
EPI25076	27.0	10
EPI254385	21.0	10
EPI257053	17.0	6
EPI257054	20.0	9
EPI257055	34.0	11
EPI257056	15.0	6
EPI257058	34.0	11
EPI257059	21.0	9
EPI2573872	21.0	9
EPI2574086	26.0	9
EPI2580054	25.0	11
EPI2580066	20.0	8
EPI2580084	19.0	7
EPI2580091	30.0	12
EPI2580092	12.0	7
EPI2580113	15.0	7
EPI2580115	31.0	11
EPI2580134	24.0	9
EPI2580187	21.0	8
EPI2584443	26.0	11
EPI259006	14.0	5
EPI275758	16.0	7
EPI275782	27.0	11
EPI275790	29.0	13
EPI275822	35.0	13
EPI275862	30.0	10
EPI275878	24.0	10
EPI275974	25.0	9
EPI275990	18.0	7
EPI2800361	21.0	9
EPI2800377	15.0	4
EPI283783	14.0	6
EPI283787	24.0	9
EPI284432	11.0	6
EPI2856448	27.0	9
EPI287236	26.0	8
EPI3009059	15.0	6
EPI3009174	33.0	13
EPI310238	28.0	10
EPI314033	24.0	9
EPI3158642	24.0	9
EPI3178330	31.0	12
EPI318210	32.0	12
EPI321295	26.0	9
EPI321328	34.0	11
EPI328886	23.0	8
EPI331854	27.0	9
EPI335206	14.0	4
EPI3358339	31.0	11
EPI340399	30.0	11
EPI340788	20.0	9
EPI340796	20.0	8
EPI341364	24.0	8
EPI354429	17.0	2
EPI355443	30.0	11
EPI356510	20.0	8
EPI359214	31.0	11
EPI359864	23.0	8
EPI359867	23.0	8
EPI359880	9.0	6
EPI359882	16.0	7
EPI369182	23.0	10
EPI371190	26.0	8
EPI398310	22.0	9
EPI398581	19.0	9
EPI414084	21.0	6
EPI420386	29.0	9
EPI448231	14.0	7
EPI454493	31.0	11
EPI467792	24.0	8
EPI471131	24.0	10
EPI475563	21.0	9
EPI476972	29.0	11
EPI4795	20.0	8
EPI4801	38.0	15
EPI492324	13.0	5
EPI533388	22.0	7
EPI533427	33.0	12
EPI533432	25.0	7
EPI537677	17.0	6
EPI559078	12.0	5
EPI559098	32.0	11
EPI559109	22.0	6
EPI589108	44.0	13
EPI593757	13.0	3
EPI597820	22.0	11
EPI597824	10.0	7
EPI600770	28.0	9
EPI653115	27.0	8
EPI658567	18.0	7
EPI675773	19.0	7
EPI687187	30.0	11
EPI764389	13.0	5
EPI808932	15.0	6
EPI839728	16.0	7
EPI893474	21.0	7
EPI940674	15.0	8
EPI9640	24.0	8
EPI97199	29.0	11
