structure	original_name	md5	score
mdscoring_1.pdb	mdref_1.pdb	None	-186.85886
mdscoring_2.pdb	mdref_2.pdb	None	-174.46776
mdscoring_3.pdb	mdref_3.pdb	None	-189.51072000000002
mdscoring_4.pdb	mdref_4.pdb	None	-151.88574
mdscoring_5.pdb	mdref_5.pdb	None	-175.00646000000003
mdscoring_6.pdb	mdref_6.pdb	None	-180.89243
mdscoring_7.pdb	mdref_7.pdb	None	-197.12444
mdscoring_8.pdb	mdref_8.pdb	None	-193.09471000000002
mdscoring_9.pdb	mdref_9.pdb	None	-188.61503000000002
mdscoring_10.pdb	mdref_10.pdb	None	-184.57612
